user_id,frequency,total_spend,avg_order_value,recency_days,total_clicks,view_clicks,cart_clicks,purchase_clicks,campaign_clicks,triggered_clicks
U008768,1,24.99,24.99,243,0,0,0,0,0,0
U004152,1,71.41,71.41,342,0,0,0,0,0,0
U006508,2,1823.91,1201.72,326,0,0,0,0,0,0
U000438,1,233.7,233.7,726,1,0,0,0,0,0
U007892,1,1261.84,1261.84,793,1,0,1,0,0,0
U000474,1,233.7,233.7,654,1,0,0,0,0,0
U002731,2,1867.39,1253.21,534,2,0,2,0,0,0
U002734,2,263,131.5,246,2,0,1,1,0,0
U008203,1,81.57,81.57,205,3,0,1,1,2,0
U002362,2,3825.44,2433.56,228,3,0,1,2,1,0
U001332,1,288.25,288.25,747,3,0,1,1,1,0
U009096,1,516.54,516.54,180,3,0,2,1,1,0
U007085,1,845.04,845.04,234,4,0,1,2,1,0
U004360,1,1424.38,1424.38,772,4,0,2,0,1,0
U000337,1,194.81,194.81,445,4,0,2,1,1,0
U002210,1,504.73,504.73,519,8,0,4,2,5,0
U009170,1,414.66,414.66,350,1,1,0,0,0,0
U003689,1,140.54,140.54,328,1,1,0,0,1,0
U007779,1,235.07,235.07,438,1,1,0,0,0,0
U009841,1,194.49,194.49,186,1,1,0,0,1,1
U005226,1,3759.72,3759.72,793,1,1,0,0,0,0
U007386,2,2157.67,1101.64,266,1,1,0,0,1,0
U008550,2,2988,1716.27,555,1,1,0,0,0,0
U009718,1,1495.59,1495.59,593,1,1,0,0,1,0
U001408,1,1376.79,1376.79,405,1,1,0,0,0,0
U005066,1,46.36,46.36,220,1,1,0,0,0,0
U002837,1,250.75,250.75,353,1,1,0,0,0,0
U006618,3,3521.82,1221.34,316,1,1,0,0,1,0
U000096,1,768.53,768.53,724,1,1,0,0,0,0
U004653,1,1.78,1.78,520,1,1,0,0,0,0
U000671,1,208.7,208.7,570,1,1,0,0,1,1
U004187,1,39.34,39.34,344,1,1,0,0,0,0
U003604,1,20.58,20.58,806,1,1,0,0,0,0
U009014,1,1452.85,1452.85,681,2,1,0,0,2,0
U004477,2,785.03,512.54,380,2,1,0,0,1,0
U003454,1,154.03,154.03,427,2,1,0,0,1,0
U001024,1,354.49,354.49,573,2,1,1,0,2,1
U003914,1,253.12,253.12,561,2,1,0,0,0,0
U001418,2,713.8,462.04,240,2,1,0,0,0,0
U005171,2,1450.66,611.8,431,2,1,0,0,1,0
U004994,2,536.7,265.93,192,2,1,1,0,2,0
U001746,1,586.17,586.17,247,2,1,0,0,0,0
U005347,1,810.13,810.13,778,2,1,1,0,1,0
U000567,2,2968.25,1555.77,234,2,1,0,0,1,0
U002006,1,219.24,219.24,847,2,1,1,0,1,0
U008528,1,124.31,124.31,713,2,1,0,1,0,0
U006651,1,626.45,626.45,270,2,1,0,0,2,0
